person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
21.0,1,0,15150.0,0,2,2500.0,1,7.51,0.17,4.0,600,0,1
22.0,0,1,58868.0,0,3,30000.0,1,18.39,0.51,2.0,606,0,1
24.0,1,3,78026.0,3,3,30000.0,0,14.54,0.38,3.0,582,0,1
25.0,1,1,90785.0,4,3,30000.0,2,16.89,0.33,4.0,649,0,1
23.0,0,3,86811.0,0,3,30000.0,0,11.01,0.35,4.0,602,0,1
26.0,1,1,75503.0,5,3,30000.0,3,17.99,0.4,2.0,616,0,1
24.0,0,3,15082.0,0,2,2500.0,5,12.69,0.17,3.0,631,0,1
26.0,1,1,361293.0,5,0,20000.0,5,7.88,0.06,4.0,684,1,0
23.0,1,3,361547.0,0,2,24250.0,1,19.41,0.07,2.0,637,1,0
26.0,1,4,360680.0,5,2,10000.0,2,10.38,0.03,4.0,649,0,0
26.0,1,1,360977.0,5,0,25000.0,1,15.33,0.07,3.0,695,1,0
25.0,0,1,361244.0,2,0,18000.0,2,16.45,0.05,3.0,620,0,0
26.0,1,1,98230.0,2,3,30000.0,4,7.49,0.31,3.0,622,0,1
22.0,0,3,80838.0,0,3,30000.0,3,12.69,0.37,3.0,645,0,1
26.0,1,4,107957.0,2,3,30000.0,0,6.62,0.28,3.0,654,0,1
24.0,0,1,94649.0,2,3,30000.0,0,11.01,0.32,4.0,624,0,1
23.0,1,3,94550.0,1,3,30000.0,0,18.62,0.32,3.0,570,0,1
23.0,1,1,111153.0,3,3,30000.0,4,15.23,0.27,3.0,648,0,1
23.0,0,0,117250.0,0,3,30000.0,5,10.65,0.26,2.0,652,0,1
25.0,1,1,144985.0,3,3,30000.0,1,7.9,0.21,4.0,559,0,0
26.0,1,3,337133.0,7,3,10000.0,4,15.96,0.03,3.0,623,1,0
26.0,1,0,333566.0,2,3,20000.0,5,11.48,0.06,3.0,602,1,0
23.0,1,1,333399.0,1,2,35000.0,4,11.01,0.1,4.0,609,0,0
25.0,1,4,154793.0,1,3,30000.0,4,7.29,0.19,4.0,573,1,0
24.0,1,0,15229.0,1,2,1750.0,5,11.01,0.11,3.0,631,1,0
21.0,0,1,158338.0,0,3,30000.0,5,5.99,0.19,4.0,623,1,0
22.0,0,1,331034.0,0,2,12000.0,5,11.58,0.04,2.0,602,1,0
26.0,0,3,316466.0,6,0,10000.0,1,11.01,0.03,4.0,579,0,1
25.0,0,0,267671.0,0,0,25000.0,3,15.7,0.09,2.0,582,0,1
22.0,1,4,85191.0,0,3,29100.0,1,15.99,0.34,3.0,700,0,1
22.0,1,0,15013.0,0,0,1500.0,1,14.84,0.1,3.0,688,0,0
26.0,1,1,313100.0,3,2,28000.0,2,10.99,0.09,3.0,607,1,0
25.0,0,1,311952.0,0,0,20000.0,2,14.42,0.06,2.0,661,1,0
24.0,1,3,306897.0,5,0,9600.0,1,6.99,0.03,2.0,562,1,0
25.0,0,1,301136.0,0,3,25000.0,3,13.49,0.08,4.0,664,1,0
25.0,1,3,15162.0,1,2,3000.0,3,11.01,0.2,3.0,564,0,1
22.0,1,0,69042.0,0,3,28000.0,3,11.01,0.41,2.0,598,0,1
21.0,0,3,15307.0,0,2,3000.0,1,13.61,0.2,3.0,557,0,1
23.0,0,0,79183.0,0,3,28000.0,1,7.9,0.35,2.0,677,0,1
26.0,1,1,102654.0,4,3,28000.0,5,7.49,0.27,3.0,690,0,1
26.0,1,0,15229.0,1,2,6100.0,1,7.51,0.4,3.0,599,0,1
22.0,1,3,106566.0,0,3,28000.0,5,9.91,0.26,3.0,604,0,1
21.0,0,1,15252.0,0,2,4200.0,4,13.48,0.28,4.0,663,0,1
22.0,1,1,15432.0,3,2,4750.0,0,7.14,0.31,2.0,601,0,1
24.0,1,3,100332.0,1,3,28000.0,5,15.99,0.28,4.0,634,0,1
24.0,1,1,300951.0,2,3,18000.0,1,12.98,0.06,3.0,671,0,0
144.0,1,1,300616.0,125,3,4800.0,5,13.57,0.02,3.0,789,0,0
25.0,0,1,121062.0,1,3,28000.0,0,12.69,0.23,3.0,622,0,0
26.0,1,0,133372.0,1,3,28000.0,1,8.9,0.21,2.0,538,1,0
26.0,1,1,15505.0,0,2,2700.0,0,11.01,0.17,4.0,587,0,1
22.0,1,4,130852.0,0,3,28000.0,1,11.01,0.21,4.0,683,0,1
23.0,1,0,182316.0,0,3,28000.0,0,11.11,0.15,2.0,634,1,0
24.0,0,1,83853.0,3,3,27600.0,2,11.01,0.33,2.0,690,0,1
21.0,0,1,15394.0,0,0,3250.0,0,15.68,0.21,3.0,518,0,1
22.0,0,1,85243.0,0,3,27500.0,1,13.06,0.32,3.0,583,0,1
22.0,1,0,288907.0,2,2,25000.0,4,11.01,0.09,2.0,617,1,0
26.0,1,0,89074.0,4,3,27050.0,5,15.62,0.3,2.0,668,0,1
24.0,1,4,100509.0,2,3,27000.0,4,13.49,0.27,2.0,673,0,1
24.0,1,3,88950.0,3,3,27000.0,5,11.01,0.3,3.0,706,0,1
23.0,0,3,75894.0,1,3,26000.0,3,11.71,0.34,2.0,536,0,1
23.0,1,0,145092.0,0,3,25600.0,1,12.69,0.18,3.0,557,1,0
24.0,0,1,15928.0,1,2,1600.0,3,13.57,0.1,3.0,689,1,0
22.0,1,1,73131.0,3,3,25475.0,5,10.99,0.35,3.0,681,0,1
25.0,1,4,281501.0,4,0,20000.0,3,14.27,0.07,4.0,623,1,0
24.0,0,0,281775.0,0,2,20000.0,2,8.88,0.07,4.0,595,1,0
26.0,1,1,281792.0,1,0,21600.0,2,12.18,0.08,3.0,584,1,0
25.0,1,1,266090.0,4,0,11900.0,0,14.42,0.04,3.0,669,0,1
26.0,1,3,279664.0,3,0,25000.0,3,14.17,0.09,2.0,642,1,0
25.0,0,3,277017.0,4,0,35000.0,3,13.99,0.13,4.0,622,1,0
23.0,1,0,100756.0,0,3,25300.0,1,10.99,0.25,3.0,689,0,1
22.0,1,3,16218.0,1,0,2000.0,4,5.42,0.12,4.0,614,0,1
25.0,0,1,16211.0,2,2,1750.0,4,13.61,0.11,3.0,597,1,0
21.0,0,1,51922.0,3,3,25000.0,1,12.73,0.48,3.0,673,0,1
24.0,1,0,50309.0,3,3,25000.0,2,11.01,0.5,3.0,625,0,1
25.0,1,3,16378.0,0,2,3000.0,0,12.87,0.18,4.0,603,0,1
24.0,1,1,16572.0,0,0,3650.0,2,9.91,0.22,3.0,589,0,1
26.0,1,4,272201.0,5,0,20000.0,2,11.49,0.07,4.0,670,1,0
25.0,0,1,271324.0,3,0,30000.0,2,19.91,0.11,2.0,637,1,0
26.0,1,0,256862.0,2,0,35000.0,1,10.65,0.14,2.0,643,0,1
24.0,1,3,271342.0,0,3,6000.0,3,11.01,0.02,4.0,508,1,0
24.0,1,3,16470.0,2,0,4500.0,0,11.83,0.27,4.0,643,0,1
23.0,1,3,16599.0,0,2,2400.0,0,13.49,0.14,2.0,505,0,1
22.0,1,1,51608.0,0,3,25000.0,3,14.59,0.48,2.0,593,0,1
26.0,0,4,58516.0,6,3,25000.0,1,9.64,0.43,4.0,686,0,1
25.0,0,0,16395.0,4,2,3600.0,3,14.59,0.22,3.0,646,0,1
22.0,0,1,16890.0,0,2,4750.0,1,11.01,0.28,3.0,645,0,1
25.0,0,0,51747.0,3,3,25000.0,1,16.35,0.48,3.0,697,0,1
21.0,1,3,59864.0,0,3,25000.0,1,10.99,0.42,2.0,648,0,1
25.0,1,4,270972.0,1,0,25000.0,5,18.67,0.09,2.0,640,1,0
26.0,1,1,270870.0,5,3,3000.0,1,9.32,0.01,4.0,681,0,0
23.0,0,0,270729.0,0,3,7500.0,0,8.63,0.03,2.0,646,0,0
26.0,1,1,270877.0,4,0,25000.0,5,10.08,0.09,2.0,615,1,0
22.0,1,0,60501.0,0,3,25000.0,4,11.83,0.41,3.0,687,0,1
23.0,1,3,60754.0,1,3,25000.0,0,7.9,0.41,3.0,650,0,1
25.0,1,1,60829.0,0,3,25000.0,2,5.99,0.41,2.0,588,0,1
24.0,1,1,53825.0,2,3,25000.0,0,15.33,0.46,2.0,652,0,1
23.0,1,3,60801.0,0,3,25000.0,5,11.83,0.41,4.0,658,0,1
22.0,1,3,60747.0,0,3,25000.0,5,10.36,0.41,2.0,634,0,1
22.0,0,3,61029.0,0,3,25000.0,5,12.23,0.41,3.0,623,0,1
22.0,0,0,63236.0,0,3,25000.0,1,11.11,0.4,4.0,635,0,1
23.0,0,1,17149.0,0,2,4950.0,0,7.9,0.29,4.0,531,0,1
24.0,0,4,265066.0,4,0,25000.0,1,11.58,0.09,2.0,665,1,0
23.0,1,0,260205.0,2,0,21000.0,0,8.9,0.08,3.0,703,0,0
25.0,0,0,260035.0,5,0,25000.0,1,16.07,0.1,3.0,585,1,0
26.0,0,1,260444.0,4,0,20000.0,1,14.22,0.08,2.0,594,0,0
23.0,1,1,258980.0,0,0,35000.0,3,14.79,0.14,3.0,618,1,0
26.0,1,3,259081.0,2,0,12000.0,1,7.88,0.05,2.0,626,1,0
23.0,1,3,63497.0,0,3,25000.0,4,13.22,0.39,2.0,695,0,1
26.0,0,2,56325.0,2,3,25000.0,0,11.86,0.44,4.0,690,0,1
22.0,1,1,64842.0,0,3,25000.0,1,13.43,0.39,4.0,574,0,1
26.0,0,3,57856.0,0,3,25000.0,2,15.28,0.43,2.0,602,0,1
23.0,1,0,57318.0,0,3,25000.0,5,17.93,0.44,2.0,679,0,1
23.0,0,3,16916.0,2,0,1400.0,1,9.25,0.08,4.0,615,0,0
21.0,1,4,16664.0,0,2,4500.0,5,12.98,0.27,4.0,601,0,1
22.0,1,0,252803.0,0,0,16000.0,5,10.62,0.06,4.0,577,1,0
26.0,0,0,253061.0,3,2,22000.0,4,11.83,0.09,4.0,588,1,0
26.0,1,1,58602.0,8,3,25000.0,5,18.43,0.43,2.0,595,0,1
22.0,1,3,67012.0,2,3,25000.0,1,11.01,0.37,4.0,653,0,1
24.0,0,4,66643.0,3,3,25000.0,2,11.01,0.38,4.0,663,0,1
23.0,1,1,66599.0,0,3,25000.0,1,11.36,0.38,3.0,653,0,1
23.0,1,0,67212.0,2,3,25000.0,1,15.65,0.37,3.0,598,0,1
24.0,0,3,66918.0,1,3,25000.0,4,13.22,0.37,4.0,630,0,1
26.0,1,0,68066.0,2,3,25000.0,0,12.87,0.37,2.0,637,0,1
24.0,1,0,245545.0,1,2,20000.0,3,13.04,0.08,3.0,660,1,0
23.0,1,0,229083.0,0,0,22000.0,1,17.58,0.1,3.0,639,0,1
23.0,1,3,17859.0,0,2,7750.0,4,17.04,0.43,4.0,626,0,1
24.0,0,0,72608.0,3,3,25000.0,4,10.99,0.34,3.0,612,0,1
24.0,1,1,73073.0,1,3,25000.0,4,11.11,0.34,3.0,628,0,1
26.0,0,4,65880.0,2,3,25000.0,0,14.83,0.38,2.0,592,0,1
23.0,1,3,17755.0,1,2,4000.0,0,11.01,0.23,3.0,580,0,1
24.0,1,1,241180.0,3,3,12000.0,3,12.69,0.05,2.0,634,0,0
24.0,1,0,240894.0,3,0,12000.0,2,13.49,0.05,2.0,678,0,0
21.0,1,3,240980.0,0,0,16000.0,1,14.65,0.07,4.0,557,1,0
25.0,1,1,65742.0,3,3,25000.0,2,16.82,0.38,4.0,672,0,1
23.0,1,1,72713.0,0,3,25000.0,4,12.73,0.34,3.0,613,0,1
23.0,1,3,72627.0,3,3,25000.0,4,10.25,0.34,4.0,566,0,1
21.0,1,0,72843.0,0,3,25000.0,1,10.99,0.34,4.0,718,0,1
25.0,1,3,75504.0,4,3,25000.0,3,12.73,0.33,2.0,484,0,1
22.0,0,3,68824.0,0,3,25000.0,2,14.96,0.36,3.0,634,0,1
23.0,0,1,241167.0,2,0,28000.0,1,11.01,0.12,2.0,653,1,0
21.0,1,1,241060.0,0,0,25000.0,0,13.99,0.1,2.0,699,0,0
24.0,1,3,240855.0,0,0,24000.0,5,7.49,0.1,4.0,656,1,0
26.0,1,3,241030.0,3,0,15000.0,1,14.79,0.06,3.0,626,1,0
25.0,1,3,240895.0,2,0,15500.0,0,11.99,0.06,2.0,659,0,0
24.0,0,3,240932.0,4,3,10000.0,1,8.49,0.04,4.0,604,1,0
24.0,1,0,80145.0,1,3,25000.0,1,9.91,0.31,2.0,636,0,1
22.0,1,4,80303.0,0,3,25000.0,1,13.06,0.31,3.0,554,0,1
22.0,1,3,241048.0,0,0,9000.0,0,6.17,0.04,4.0,587,1,0
144.0,1,0,241424.0,121,0,6000.0,1,11.86,0.02,2.0,807,0,0
25.0,1,1,241005.0,4,3,18000.0,1,16.32,0.07,3.0,708,1,0
25.0,0,4,240768.0,2,0,12000.0,5,10.38,0.05,2.0,669,1,0
25.0,1,0,241201.0,2,0,23050.0,4,14.35,0.1,3.0,578,0,0
24.0,1,1,240920.0,5,0,20000.0,0,11.01,0.08,3.0,615,0,0
24.0,0,4,72919.0,1,3,25000.0,0,11.01,0.34,2.0,553,0,1
21.0,1,4,18008.0,0,2,3000.0,2,11.01,0.17,4.0,635,0,1
26.0,0,0,81238.0,3,3,25000.0,4,15.21,0.31,2.0,531,0,1
23.0,1,3,80868.0,1,3,25000.0,1,7.9,0.31,4.0,621,0,1
24.0,1,1,81537.0,1,3,25000.0,5,10.99,0.31,3.0,674,0,1
24.0,0,0,82741.0,0,3,25000.0,4,14.09,0.3,3.0,688,0,1
25.0,0,3,83901.0,3,3,25000.0,4,17.49,0.3,2.0,597,0,1
25.0,1,0,240717.0,1,0,12000.0,1,11.48,0.05,3.0,640,0,0
26.0,0,0,226744.0,0,0,20000.0,5,17.74,0.09,2.0,621,0,1
26.0,0,1,241114.0,5,0,3000.0,4,13.92,0.01,3.0,608,1,0
25.0,1,1,85284.0,3,3,25000.0,1,15.21,0.29,3.0,653,0,1
22.0,0,1,18152.0,0,2,4000.0,3,10.99,0.22,3.0,585,0,1
24.0,0,3,84871.0,3,3,25000.0,1,11.86,0.29,4.0,569,0,1
24.0,1,1,18294.0,2,2,6000.0,4,7.49,0.33,3.0,587,0,1
24.0,1,1,68029.0,1,3,25000.0,3,16.49,0.37,4.0,631,0,1
25.0,0,3,80001.0,4,3,25000.0,5,15.33,0.31,2.0,592,0,1
26.0,0,3,79875.0,6,3,25000.0,2,11.58,0.31,4.0,679,0,1
25.0,1,3,18449.0,1,2,5375.0,1,5.79,0.29,2.0,645,0,1
25.0,1,0,88153.0,0,3,25000.0,3,13.11,0.28,2.0,669,0,1
23.0,0,1,90109.0,0,3,25000.0,3,10.36,0.28,3.0,653,0,1
25.0,1,1,90938.0,1,3,25000.0,0,10.36,0.27,2.0,577,0,1
24.0,1,3,231335.0,0,3,22000.0,3,11.01,0.1,2.0,668,1,0
21.0,1,1,231829.0,0,0,20000.0,5,6.54,0.09,4.0,629,0,0
25.0,0,0,230516.0,4,0,10000.0,3,12.53,0.04,4.0,643,0,0
26.0,1,1,229626.0,0,0,15000.0,4,11.01,0.07,3.0,626,0,0
22.0,1,1,228907.0,0,0,10000.0,5,11.01,0.04,3.0,560,1,0
24.0,1,1,90938.0,0,3,25000.0,1,10.25,0.27,4.0,648,0,1
22.0,1,0,86284.0,0,3,25000.0,1,15.95,0.29,4.0,648,0,1
26.0,1,0,228774.0,3,0,20000.0,5,12.18,0.09,4.0,669,1,0
23.0,1,3,229027.0,2,2,24000.0,4,11.83,0.1,3.0,536,1,0
23.0,1,3,94789.0,1,3,25000.0,0,11.01,0.26,2.0,548,0,1
23.0,0,4,94780.0,0,3,25000.0,5,10.62,0.26,3.0,667,0,1
23.0,1,3,95298.0,0,3,25000.0,5,10.74,0.26,3.0,676,0,1
25.0,1,0,223944.0,1,2,10000.0,5,10.25,0.04,4.0,570,1,0
24.0,1,3,222629.0,0,0,35000.0,1,12.42,0.16,2.0,623,0,0
25.0,0,1,222973.0,2,3,15000.0,5,15.27,0.07,2.0,652,1,0
24.0,0,3,75240.0,1,3,25000.0,3,15.33,0.33,2.0,625,0,1
23.0,0,3,96143.0,1,3,25000.0,5,15.21,0.26,2.0,642,0,1
21.0,1,1,18064.0,0,2,6250.0,5,14.72,0.35,2.0,580,0,1
24.0,1,0,96627.0,2,3,25000.0,4,15.7,0.26,2.0,622,0,1
24.0,1,1,96309.0,3,3,25000.0,1,13.35,0.26,4.0,581,0,1
21.0,0,3,18421.0,1,0,1500.0,3,11.01,0.08,4.0,623,0,0
24.0,1,4,96836.0,1,3,25000.0,1,6.62,0.26,2.0,583,0,1
26.0,1,1,96947.0,4,3,25000.0,0,13.61,0.26,4.0,645,0,1
22.0,0,0,222975.0,2,3,25000.0,3,11.36,0.11,2.0,593,1,0
26.0,1,0,222985.0,3,2,5000.0,4,7.68,0.02,2.0,659,1,0
24.0,0,1,223064.0,0,3,22000.0,2,14.46,0.1,4.0,655,1,0
23.0,1,0,221559.0,2,2,2500.0,1,11.83,0.01,2.0,583,1,0
24.0,0,0,207712.0,0,0,20000.0,0,13.47,0.1,4.0,582,0,1
24.0,0,1,220872.0,1,0,20000.0,3,11.49,0.09,3.0,504,1,0
22.0,1,3,220518.0,0,0,1000.0,1,11.01,0.0,2.0,551,1,0
25.0,0,0,220510.0,1,0,15000.0,4,6.03,0.07,3.0,529,1,0
23.0,0,1,89818.0,0,3,25000.0,0,16.35,0.28,4.0,674,0,1
26.0,0,3,90006.0,4,3,25000.0,0,11.01,0.28,4.0,595,0,1
25.0,0,3,98704.0,6,3,25000.0,0,7.29,0.25,3.0,597,0,1
23.0,1,3,98967.0,5,3,25000.0,3,11.36,0.25,3.0,566,0,1
24.0,1,3,99435.0,3,3,25000.0,5,10.25,0.25,2.0,666,0,0
24.0,0,1,100658.0,1,3,25000.0,1,11.12,0.25,3.0,695,0,0
24.0,0,1,100435.0,2,3,25000.0,4,12.92,0.25,3.0,576,1,0
24.0,1,3,216925.0,5,3,18000.0,1,18.64,0.08,4.0,651,1,0
23.0,0,1,216891.0,0,0,28000.0,4,7.51,0.13,3.0,633,1,0
23.0,1,4,18512.0,1,2,4000.0,2,16.7,0.22,2.0,566,0,1
22.0,1,4,18367.0,0,2,2100.0,4,11.14,0.11,4.0,583,0,0
22.0,0,0,102317.0,0,3,25000.0,4,18.3,0.24,4.0,586,1,0
24.0,0,0,103400.0,4,3,25000.0,3,10.62,0.24,4.0,592,1,0
24.0,1,1,217134.0,2,0,14000.0,5,11.99,0.06,2.0,598,1,0
26.0,1,4,217024.0,1,0,12000.0,5,9.63,0.06,4.0,637,1,0
25.0,0,3,172215.0,5,0,10000.0,3,18.25,0.06,4.0,628,0,1
23.0,1,4,18831.0,0,0,6000.0,0,11.01,0.32,4.0,667,0,1
24.0,1,0,105349.0,5,3,25000.0,2,14.84,0.24,3.0,621,1,0
24.0,1,1,91184.0,1,3,25000.0,5,14.7,0.27,3.0,668,0,1
23.0,0,3,91886.0,1,3,25000.0,0,16.02,0.27,4.0,544,0,1
23.0,1,0,80452.0,2,3,25000.0,3,15.37,0.31,2.0,699,0,1
25.0,0,1,108758.0,2,3,25000.0,3,10.99,0.23,4.0,611,0,0
21.0,1,0,18916.0,0,2,6200.0,2,7.9,0.33,2.0,615,0,1
26.0,0,3,217234.0,5,2,25000.0,4,10.99,0.12,4.0,559,1,0
24.0,0,3,217017.0,0,2,21000.0,1,11.48,0.1,3.0,577,1,0
25.0,1,3,216874.0,1,2,20000.0,3,14.26,0.09,4.0,657,1,0
26.0,1,0,216833.0,5,2,10000.0,2,8.0,0.05,4.0,676,1,0
25.0,1,1,216483.0,0,0,9950.0,5,11.26,0.05,2.0,601,0,0
23.0,0,4,19000.0,2,2,4475.0,3,11.01,0.24,4.0,647,0,1
23.0,0,4,94363.0,0,3,25000.0,5,16.32,0.26,3.0,576,0,1
25.0,1,4,80570.0,3,3,25000.0,3,17.93,0.31,4.0,612,0,1
23.0,1,1,109167.0,0,3,25000.0,0,11.36,0.23,3.0,678,0,0
24.0,0,0,95753.0,1,3,25000.0,0,14.96,0.26,4.0,542,0,1
24.0,0,0,110935.0,1,3,25000.0,4,13.43,0.23,3.0,709,1,0
25.0,1,0,111490.0,2,3,25000.0,2,12.69,0.22,3.0,622,1,0
24.0,1,0,111729.0,4,3,25000.0,5,12.73,0.22,4.0,642,1,0
23.0,0,3,113396.0,0,3,25000.0,5,15.21,0.22,4.0,660,0,0
23.0,0,1,19175.0,1,0,1750.0,3,12.68,0.09,3.0,587,1,0
23.0,0,3,85787.0,0,3,25000.0,3,19.04,0.29,4.0,646,0,1
25.0,0,4,102114.0,7,3,25000.0,0,15.95,0.24,3.0,637,0,1
26.0,1,1,211005.0,5,0,2600.0,5,8.9,0.01,4.0,718,0,0
25.0,1,4,210903.0,4,0,8000.0,2,7.9,0.04,2.0,588,1,0
22.0,1,0,210555.0,0,0,18000.0,1,11.01,0.09,2.0,652,0,0
23.0,1,1,210937.0,0,0,21000.0,4,11.99,0.1,3.0,620,1,0
23.0,1,3,19062.0,2,2,4000.0,0,13.98,0.21,4.0,667,0,1
23.0,0,0,18926.0,0,2,4600.0,5,10.99,0.24,2.0,688,0,1
22.0,1,0,106694.0,0,3,25000.0,0,15.58,0.23,2.0,667,0,1
25.0,1,4,90718.0,4,3,25000.0,3,10.99,0.28,2.0,692,0,1
25.0,1,1,106668.0,1,3,25000.0,5,14.96,0.23,4.0,562,0,1
25.0,1,3,19158.0,4,2,1750.0,2,15.31,0.09,4.0,625,1,0
26.0,1,3,106419.0,5,3,25000.0,5,15.65,0.23,3.0,649,0,1
25.0,0,3,120696.0,3,3,25000.0,5,9.33,0.21,4.0,545,1,0
23.0,1,3,19065.0,3,0,3600.0,4,13.47,0.19,4.0,540,0,1
24.0,0,0,124083.0,0,3,25000.0,4,10.36,0.2,3.0,637,1,0
24.0,1,0,111673.0,4,3,25000.0,2,16.77,0.22,4.0,600,0,1
23.0,1,3,112633.0,1,3,25000.0,0,14.59,0.22,2.0,633,0,1
22.0,1,3,210938.0,0,3,3500.0,5,11.91,0.02,2.0,588,0,0
23.0,0,0,210720.0,2,0,7200.0,1,8.38,0.03,3.0,624,1,0
25.0,1,3,210705.0,7,3,9000.0,5,10.59,0.04,3.0,525,1,0
25.0,1,3,209997.0,3,0,8800.0,0,14.27,0.04,3.0,616,1,0
26.0,0,4,209873.0,3,3,12000.0,0,12.53,0.06,4.0,675,0,0
25.0,0,0,195268.0,1,0,25000.0,0,16.0,0.13,3.0,662,0,1
26.0,1,4,209393.0,2,0,10000.0,5,11.71,0.05,4.0,585,1,0
21.0,1,4,18773.0,0,2,3175.0,2,11.54,0.17,3.0,686,0,1
25.0,0,1,116439.0,2,3,25000.0,2,15.68,0.21,4.0,595,0,1
21.0,0,0,19169.0,2,0,1500.0,1,10.59,0.08,2.0,537,1,0
24.0,0,3,118417.0,0,3,25000.0,2,12.61,0.21,2.0,625,0,1
26.0,0,3,133476.0,0,3,25000.0,4,11.01,0.19,2.0,641,1,0
23.0,0,0,19312.0,4,0,2800.0,4,8.49,0.14,3.0,661,0,1
25.0,1,3,192351.0,1,3,30000.0,4,17.27,0.16,4.0,577,0,1
24.0,1,1,206648.0,4,3,18000.0,0,8.9,0.09,4.0,537,1,0
25.0,0,3,205046.0,6,0,10000.0,3,11.11,0.05,4.0,646,1,0
24.0,1,3,190735.0,1,3,25000.0,2,14.59,0.13,2.0,653,0,1
26.0,0,0,204872.0,3,3,13000.0,5,12.42,0.06,3.0,654,0,0
24.0,1,0,100758.0,0,3,25000.0,3,11.01,0.25,2.0,635,0,1
24.0,0,4,133231.0,3,3,25000.0,2,15.7,0.19,2.0,675,1,0
22.0,0,4,18923.0,0,2,2500.0,2,12.53,0.13,3.0,618,0,1
25.0,0,4,161894.0,0,3,5000.0,3,16.49,0.03,2.0,609,0,1
25.0,0,1,205144.0,0,0,20000.0,1,7.49,0.1,2.0,545,1,0
22.0,0,3,121617.0,2,3,25000.0,0,14.96,0.21,2.0,629,0,1
25.0,1,0,136206.0,6,3,25000.0,3,12.73,0.18,4.0,539,0,0
24.0,1,4,144915.0,4,3,25000.0,1,10.65,0.17,4.0,593,1,0
25.0,0,3,145233.0,3,3,25000.0,3,10.74,0.17,2.0,683,0,0
23.0,1,1,145002.0,1,3,25000.0,1,9.99,0.17,2.0,670,1,0
24.0,1,4,110953.0,0,3,25000.0,3,15.33,0.23,2.0,662,0,1
21.0,0,3,19414.0,2,2,1000.0,5,7.29,0.05,4.0,681,1,0
26.0,1,3,130096.0,1,3,25000.0,4,15.05,0.19,3.0,636,0,1
26.0,1,4,157292.0,0,3,25000.0,4,10.75,0.16,3.0,677,1,0
